"species";"lookup";"match"
"– T. scorodonia L.";"Salbei-G. – T. scorodonia L.";"Z s"
"– T. hyrcanicum L.";"Hyrkanischer G. – T. hyrcanicum L.";"Z s"
"– T. chamaedrys L.Ähnlich: Bastard-Gaman";"Edel-G. – T. chamaedrys L.Ähnlich: Bastard-Gaman";"Z z"
"– T. montanum L.4* Bl gekerbt od. gesägt";"Berg-G. – T. montanum L.4* Bl gekerbt od. gesägt";"Z z"
"– T. pyrenaicum L.";"Pyrenäen-G. – T. pyrenaicum L.";"Z s"
"– T. polium L.";"Polei-G., Marienkraut – T. polium L.";"Z s"
"– A. reptans L.";"Kriech-G. – A. reptans L.";"Z v"
"– A. genevensis L.2* Pfl kurzhaarig. Obe";"Heide-G. – A. genevensis L.2* Pfl kurzhaarig. Obe";"Z s"
"– A. pyramidalis L.";"Pyramiden-G. – A. pyramidalis L.";"Z s"
"– P. amboinicus (LOUR.) SPRENG.2* BStand";"Ambon-H., Jamaikathymian – P. amboinicus (LOUR.) SPRENG.2* BStand";"Z z"
"– P. caninus ROTH";"Hunds-H. – P. caninus ROTH";"Z s"
"– P. neochilus SCHLTR.4* Kr 20–25 mm lg ";"Schlechter-H. – P. neochilus SCHLTR.4* Kr 20–25 mm lg ";"Z s"
"– P. ornatus CODD5 (1) Scheinquirle 6–10";"Schmuck-H. – P. ornatus CODD5 (1) Scheinquirle 6–10";"Z z"
"– P. forsteri BENTH.5* Scheinquirle 2–6b";"Forster-H., Schwedischer Efeu, Weihrauchkraut – P. forsteri BENTH.5* Scheinquirle 2–6b";"Z v"
"– P. fruticosus L’HÉR.6* KrRöhre > 10 mm";"Echter H., Mottenkönig – P. fruticosus L’HÉR.6* KrRöhre > 10 mm";"Z s"
"– P. oertendahlii TH. FR.";"Kerzen-H. – P. oertendahlii TH. FR.";"Z s"
"– P. saccatus BENTH.";"Sackförmiger H. – P. saccatus BENTH.";"Z s"
"– L. angustifolia MILL.";"Echter L. – L. angustifolia MILL.";"Z z"
"– L. stoechas L.Ähnlich: Französischer L";"Schopf-L. – L. stoechas L.Ähnlich: Französischer L";"Z s"
"– E. stauntonii BENTH.";"Elsholtzie, Chinesische K. – E. stauntonii BENTH.";"Z s"
"– M. cervina L.";"Hirsch-M. – M. cervina L.";"Z z"
"– M. requienii BENTH.";"Korsische M., Zarte M. – M. requienii BENTH.";"Z s"
"– M. pulegium L.";"Polei-M. – M. pulegium L.";"N s"
"– M. aquatica L.5* Scheinquirle meist bl";"Wasser-M. – M. aquatica L.5* Scheinquirle meist bl";"Z z"
"– M. × dalmatica TAUSCH8* Stg mit einfac";"Dalmatiner M. – M. × dalmatica TAUSCH8* Stg mit einfac";"Z z"
"– M. × carinthiaca HOST";"Kärntner M. – M. × carinthiaca HOST";"N s"
"– M. × gracilis SOLE";"Edel-M. – M. × gracilis SOLE";"N v"
"– M. luteorubra BENTH.";"Rote M. – M. luteorubra BENTH.";NA
"– M. × piperita L.11* Pfl meist flaumig ";"Pfeffer-M. – M. × piperita L.11* Pfl meist flaumig ";NA
"– M. × suavis GUSS.";"Liebliche M. – M. × suavis GUSS.";"N s"
"– M. spicata L. em. L.12* Bl useits filz";"Grüne M. – M. spicata L. em. L.12* Bl useits filz";"N z"
"– M. suaveolens EHRH.";"Rundblättrige M. – M. suaveolens EHRH.";NA
"– M. × villosa HUDS.";"Zottige M., Apfel-M. – M. × villosa HUDS.";"N v"
"– M. longifolia (L.) L.";"Ross-M. – M. longifolia (L.) L.";"Z z"
"– M. rotundifolia (L.) HUDS.";"Falsche Apfel-M. – M. rotundifolia (L.) HUDS.";"N s"
"– M. × villosonervata OPIZ";"Gezähnte M. – M. × villosonervata OPIZ";"N s"
"– L. europaeus L. ";"Ufer-W. – L. europaeus L. ";"Z z"
"blättriges K. – C. hyssopifolia HUMB., B";"Ysop blättriges K. – C. hyssopifolia HUMB., B";NA
"– O. amanum POST1* Zumindest 2 StaubBl d";"Amanus-D. – O. amanum POST1* Zumindest 2 StaubBl d";NA
"– O. vulgare L.2* K 2lippig. KZähne der ";"Gewöhnlicher D., Oregano – O. vulgare L.2* K 2lippig. KZähne der ";"Z s"
"– O. dictamnus L.";"Diptam-D., Kreta-D. – O. dictamnus L.";"Z s"
"– O. scabrum BOISS. et HELDR.";"Griechischer D. – O. scabrum BOISS. et HELDR.";"Z s"
"– T. villosus L.";"Zottiger Th. – T. villosus L.";"Z s"
"– T. membranaceus BOISS.4 (2) Stg lg kri";"Dünnhäutiger Th. – T. membranaceus BOISS.4 (2) Stg lg kri";"Z s"
"– T. cherlerioides VIS.";"Polster-Th. – T. cherlerioides VIS.";"Z s"
"– T. vulgaris L.";"Echter Th., Gewürz-Th. – T. vulgaris L.";"Z z"
"– T. × citriodorus (PERS.) SCHREB. ex SC";"Zitronen-Th. – T. × citriodorus (PERS.) SCHREB. ex SC";"Z s"
"– T. caespititius BROT.6* KOLippe stets ";"Schillernder Th., Azoren-Th. – T. caespititius BROT.6* KOLippe stets ";"Z s"
"– T. pulegioides L.";"Arznei-Th., Feld-Th. – T. pulegioides L.";"Z v"
"– T. richardii PERS.";"Insel-Th. – T. richardii PERS.";"Z s"
"– T. herba-barona LOISEL.10* Obere KZähn";"Korsischer Th. – T. herba-barona LOISEL.10* Obere KZähn";"Z s"
"– T. pannonicus ALL.Ähnlich: Österreichi";"Steppen-Th., Pannonischer Th. – T. pannonicus ALL.Ähnlich: Österreichi";"Z s"
"– T. oenipontanus HEINR. BRAUN [T. glabr";"Innsbrucker Th., Tiroler Th. – T. oenipontanus HEINR. BRAUN [T. glabr";"Z s"
"– T. thracicus VELEN.12* K 2,5–4 mm lg. ";"Thrakischer Th., Langzahn-Th. – T. thracicus VELEN.12* K 2,5–4 mm lg. ";"Z s"
"– T. longicaulis C. PRESL13 (11) Bl (1,5";"Dalmatiner Th., Langstängel-Th. – T. longicaulis C. PRESL13 (11) Bl (1,5";"Z s"
"– T. ‘Elfin’";"Elfin-Th. – T. ‘Elfin’";"Z z"
". – T. serpyllum L.14* Obere KZähne schm";"Sand-Th . – T. serpyllum L.14* Obere KZähne schm";NA
"– T. praecox OPIZ15* Bl 3–8 mm lg, 2–4 m";"Frühblühender Th., Kriech-Th. – T. praecox OPIZ15* Bl 3–8 mm lg, 2–4 m";NA
"– T. drucei RONNIGER";"Britischer Th. – T. drucei RONNIGER";"Z v"
"– M. officinalis L.";"Zitronen-M. – M. officinalis L.";"N v"
"– S. hortensis L.";"Echtes B., Sommer-B. – S. hortensis L.";"N v"
"– S. montana L.";"Winter-B. – S. montana L.";"Z z"
"– C. menthifolia HOST2* K 3–7 mm lg, sei";"Wald-B. – C. menthifolia HOST2* K 3–7 mm lg, sei";"Z z"
", Amethyst-B. – B. americana L.";"Kleinblütige B. , Amethyst-B. – B. americana L.";NA
"– C. einseleana F. W. SCHULTZ";"Österreichische B. – C. einseleana F. W. SCHULTZ";NA
"– H. pyrenaicum L.Andorn – Marrubium L. ";"Pyrenäen-D. – H. pyrenaicum L.Andorn – Marrubium L. ";"Z s"
"– M. vulgare L.";"Gewöhnlicher A. – M. vulgare L.";"Z s"
"– M. velutinum SIBTH. et SM.";"Samtiger A. – M. velutinum SIBTH. et SM.";"Z s"
"– M. cylleneum BOISS. et HELDR.4 (2) Kr ";"Griechischer A. – M. cylleneum BOISS. et HELDR.4 (2) Kr ";"Z s"
"– M. incanum DESR.";"Aschgrauer A. – M. incanum DESR.";"Z s"
"– M. supinum L.";"Spanischer A. – M. supinum L.";"Z z"
"– A. mexicana (HUMB., BONPL. et KUNTH) L";"Mexikanischer R. – A. mexicana (HUMB., BONPL. et KUNTH) L";"Z s"
"– E. rupestre (POURR. ex CAV.) GUITT.: B";"Felsen-R. – E. rupestre (POURR. ex CAV.) GUITT.: B";NA
"– A. urticifolia (BENTH.) KUNTZE3* Kr 5–";"Brennnesselblättriger R. – A. urticifolia (BENTH.) KUNTZE3* Kr 5–";"Z s"
"– A. nepetoides (PURSH) KUNTZE";"Gelblichblühender R. – A. nepetoides (PURSH) KUNTZE";"Z s"
"– A. foeniculum (PURSH) KUNTZE5* BlUSeit";"Anis-R., Duftnessel – A. foeniculum (PURSH) KUNTZE5* BlUSeit";"Z s"
"– A. rugosa (FISCH. et C. A. MEY.) KUNTZ";"Ostasiatischer R. – A. rugosa (FISCH. et C. A. MEY.) KUNTZ";"Z z"
"– W. amherstiana BENTH.: BSchaft unbeblä";"Himalaja-K. – W. amherstiana BENTH.: BSchaft unbeblä";NA
"– N. nervosa ROYLE ex BENTH.";"Kaschmir-K. – N. nervosa ROYLE ex BENTH.";"Z s"
"– N. sibirica L.Ähnlich: Japanische K. –";"Sibirische K. – N. sibirica L.Ähnlich: Japanische K. –";"Z s"
"– N. cataria L. var. citriodora (BECKER)";"Zitronen-K. – N. cataria L. var. citriodora (BECKER)";"Z s"
"– N. racemosa LAM.Ähnlich: Hybrid-K. – N";"Traubige K., Blauminze – N. racemosa LAM.Ähnlich: Hybrid-K. – N";"N s"
"– G. hederacea L.1* Pfl stets behaart. B";"Efeu-G. – G. hederacea L.1* Pfl stets behaart. B";"Z z"
"– G. hirsuta WALDST. et KIT.Meehanie – M";"Rauhaariger G. – G. hirsuta WALDST. et KIT.Meehanie – M";"Z s"
"– M. urticifolia (MIQ.) MAKINO";"Nesselblättrige M. – M. urticifolia (MIQ.) MAKINO";"Z s"
"– D. isabellae FORREST3* Kr 25–28 mm lg.";"Isabell-D. – D. isabellae FORREST3* Kr 25–28 mm lg.";"Z s"
"– D. forrestii W.W. SM.4 (2) Kr 9–15 mm ";"Forrest-D. – D. forrestii W.W. SM.4 (2) Kr 9–15 mm ";"Z s"
"– D. botryoides STEV.4* Kr 35–50 mm lg. ";"Kaukasischer D. – D. botryoides STEV.4* Kr 35–50 mm lg. ";"Z s"
"– D. austriacum L.5 (1) Bl ganzrandig, s";"Österreichischer D. – D. austriacum L.5 (1) Bl ganzrandig, s";"Z s"
"– D. ruyschiana L.Ähnlich: Argun-D. – D.";"Nordischer D. – D. ruyschiana L.Ähnlich: Argun-D. – D.";"Z s"
"– D. renati EMB.: Kr 20 mm lg, cremeweiß";"Marokkanischer D. – D. renati EMB.: Kr 20 mm lg, cremeweiß";"Z s"
"– D. peregrinum L.";"Fremdartiger D. – D. peregrinum L.";"Z s"
"– D. moldavica L.";"Türkischer D. – D. moldavica L.";"Z s"
", Falsches Afrikanisches Veilchen – St. ";"Felsen-D. , Falsches Afrikanisches Veilchen – St. ";NA
"– D. grandiflorum L.Ähnlich: Bauchiger D";"Großblütiger D. – D. grandiflorum L.Ähnlich: Bauchiger D";NA
"– L. peltata FISCH. et C. A. MEY.1* Deck";"Schild-L. – L. peltata FISCH. et C. A. MEY.1* Deck";"Z s"
"– L. canescens (L.) FISCH. et C. A. MEY.";"Weißgraue L. – L. canescens (L.) FISCH. et C. A. MEY.";"Z s"
"– St. iva GRISEB.";"Balkan-Z. – St. iva GRISEB.";"Z z"
"– St. lavandulifolia VAHL";"Lavendelblättriger Z. – St. lavandulifolia VAHL";"Z s"
"– St. byzantina K. KOCH4* KrRöhre deutli";"Woll-Z., Eselsohr – St. byzantina K. KOCH4* KrRöhre deutli";"Z v"
"– St. officinalis (L.) TREVIS.Ähnlich: Z";"Heil-Z. – St. officinalis (L.) TREVIS.Ähnlich: Z";"Z s"
"– St. nivea, s. 6";"Schneeweißer Z. – St. nivea, s. 6";NA
"– St. macrantha (C. KOCH) STEARN";"Großblütiger Z. – St. macrantha (C. KOCH) STEARN";"Z s"
"– P. fruticosa L.";"Strauchiges B. – P. fruticosa L.";"Z s"
"– P. russeliana (SIMS) BENTH.";"Russel-B. – P. russeliana (SIMS) BENTH.";"Z z"
"– P. samia L.";"Samos-B. – P. samia L.";"Z s"
", Falsche Alraunwurzel – T. grandiflora ";"Großblütige T. , Falsche Alraunwurzel – T. grandiflora ";NA
"– L. garganicum L.";"Gargano-T. – L. garganicum L.";NA
"– L. album L.3* KrRöhre innen über dem G";"Weiße T. – L. album L.3* KrRöhre innen über dem G";"Z s"
"– L. maculatum L.";"Gefleckte T. – L. maculatum L.";"Z z"
"– P. laciniata (L.) L.2* Kr blauviolett,";"Weiße B. – P. laciniata (L.) L.2* Kr blauviolett,";"Z z"
"– M. punctata L.Ähnlich: Zitronen-M. – M";"Punktierte M. – M. punctata L.Ähnlich: Zitronen-M. – M";"Z v"
"– M. russeliana NUTT. ex SIMS";"Russel-M. – M. russeliana NUTT. ex SIMS";"Z s"
"– M. didyma L.";"Scharlach-M., Goldmelisse – M. didyma L.";"Z s"
", Rosspappel, Große Käsepappel – M. sylv";"Wilde M. , Rosspappel, Große Käsepappel – M. sylv";NA
"– P. abrotanoides KAR.1* Bl unzerteilt o";"Fiederschnittige P., Eberrauten-P. – P. abrotanoides KAR.1* Bl unzerteilt o";NA
"– P. atriplicifolia BENTH.";"Silber-P., Meldenblättrige P. – P. atriplicifolia BENTH.";"Z z"
"– S. jurisicii KOŠANIN1* Bl unzerteilt ";"Mazedonischer S. – S. jurisicii KOŠANIN1* Bl unzerteilt ";"Z s"
"– S. glutinosa L.";"Kleb-S. – S. glutinosa L.";"Z s"
"– S. officinalis L.Ähnlich: Filziger S. ";"Echter S. – S. officinalis L.Ähnlich: Filziger S. ";"Z z"
"– S. verticillata L.";"Quirl-S. – S. verticillata L.";"Z s"
"– S. patens CAV.";"Mexikanischer S. – S. patens CAV.";"Z s"
"– S. splendens SELLO ex ROEM. et SCHULT.";"Glänzender S. – S. splendens SELLO ex ROEM. et SCHULT.";"Z v"
"– S. farinacea BENTH. ";"Mehl-S. – S. farinacea BENTH. ";"Z v"
"– S. discolor KUNTH9* Kr rot od. KrRöhre";"Peruanischer S. – S. discolor KUNTH9* Kr rot od. KrRöhre";"Z s"
"– S. coccinea JUSS. ex MURRAYÄhnlich: An";"Scharlachroter S. – S. coccinea JUSS. ex MURRAYÄhnlich: An";"Z z"
", Ziegenfuß-S. – O. pes-caprae L.6* Pfl ";"Nickender S. , Ziegenfuß-S. – O. pes-caprae L.6* Pfl ";NA
"– S. viridis L.";"Buntschopf-S. – S. viridis L.";NA
"– S. aethiopis L.";"Ungarischer S. – S. aethiopis L.";"Z s"
". – S. nemorosa L.";"Steppen-S . – S. nemorosa L.";NA
"– S. sclarea L.";"Muskateller-S. – S. sclarea L.";NA
"– S. pratensis, s. 17";"Wiesen-S. – S. pratensis, s. 17";NA
"– S. argentea L.";"Silberblatt-S. – S. argentea L.";"Z s"
"– S. candidissima VAHL";"Reinweißblütiger S. – S. candidissima VAHL";"Z s"
"– S. orientalis L.";"Orient-H. – S. orientalis L.";"Z s"
"– S. baicalensis GEORGI3* Bl elliptisch ";"Chinesisches H., Baikal-H. – S. baicalensis GEORGI3* Bl elliptisch ";"Z s"
"– S. altissima L.Ähnlich: Weißgraues H. ";"Hohes H. – S. altissima L.Ähnlich: Weißgraues H. ";"Z s"
"– S. aemula R. BR.Bem.: Der zuweilen für";"Blauviolette F. – S. aemula R. BR.Bem.: Der zuweilen für";"Z s"
"– C. glomerata L.2* B in dichten, nur am";"Knäuel-G. – C. glomerata L.2* B in dichten, nur am";"Z s"
"– C. spicata L.4 (1) Pfl > 30 cm hoch, n";"Ährige G. – C. spicata L.4 (1) Pfl > 30 cm hoch, n";"Z s"
"– C. medium L.Ähnlich: Pyrenäen-G. – C. ";"Marien-G. – C. medium L.Ähnlich: Pyrenäen-G. – C. ";NA
"– C. persicifolia L.1 B in lockerer Trau";"Pfirsichblättrige G. – C. persicifolia L.1 B in lockerer Trau";"Z s"
"– subsp. sessiliflora (K. KOCH) VELEN.";"Große Pfirsichblättrige G. – subsp. sessiliflora (K. KOCH) VELEN.";"Z v"
"– C. rapunculus L.";"Rapunzel-G. – C. rapunculus L.";NA
"– C. carpatica JACQ.11 (9) KAnhängsel (z";"Karpaten-G. – C. carpatica JACQ.11 (9) KAnhängsel (z";"Z s"
"– C. punctata LAM.Ähnlich: Korea-G. – C.";"Punktierte G. – C. punctata LAM.Ähnlich: Korea-G. – C.";"Z z"
"– C. alliariifolia WILLD.Ähnlich: Sarmat";"Knoblauchraukenblättrige G. – C. alliariifolia WILLD.Ähnlich: Sarmat";"Z s"
", Spinatbaum – Ch. giganteum DON [Ch. am";"Riesen-G. , Spinatbaum – Ch. giganteum DON [Ch. am";NA
"– G. muralis L.";"Acker-G. – G. muralis L.";NA
"– C. latifolia L.";"Breitblättrige G. – C. latifolia L.";"Z z"
"– C. trachelium L.Ähnlich: Grossek-G. – ";"Nesselblättrige G. – C. trachelium L.Ähnlich: Grossek-G. – ";"Z z"
"– C. betulifolia K. KOCH";"Birkenblättrige G. – C. betulifolia K. KOCH";"Z s"
"– C. raddeana TRAUTV.";"Kaukasus-G. – C. raddeana TRAUTV.";"Z s"
"– C. collina SIMS";"Berghügel-G. – C. collina SIMS";"Z s"
"– C. barbata L.";"Bärtige G. – C. barbata L.";"Z s"
"– C. alpestris ALL.";"Seealpen-G., Allioni-G. – C. alpestris ALL.";"Z s"
"– C. chamissonis FED.Bem.: C. dasyantha ";"Chamisso-G. – C. chamissonis FED.Bem.: C. dasyantha ";"Z s"
"– C. bellidifolia ADAMSSehr ähnlich: Dre";"Gänseblümchenblättrige G. – C. bellidifolia ADAMSSehr ähnlich: Dre";"Z s"
"– C. zoysii WULF.";"Zois-G. – C. zoysii WULF.";"Z s"
"– C. excisa SCHLEICH. ex MURITH28* Einsc";"Ausgeschnittene G. – C. excisa SCHLEICH. ex MURITH28* Einsc";"Z s"
"– C. pulla L.Ähnlich: C. × pulloides hor";"Dunkle G. – C. pulla L.Ähnlich: C. × pulloides hor";NA
"– C. cenisia L.";"Mt. Cenis-G. – C. cenisia L.";"Z z"
"– C. raineri PERP.Ähnlich: Dolomiten-G. ";"Insubrische G., Rainer-G. – C. raineri PERP.Ähnlich: Dolomiten-G. ";"Z s"
"– C. arvatica LAG.:B 2,5 cm ∅. Kr flach ";"Oviedo-G. – C. arvatica LAG.:B 2,5 cm ∅. Kr flach ";NA
"– C. piperi HOWELL31 (25) StgBl wie die ";"Piper-G. – C. piperi HOWELL31 (25) StgBl wie die ";"Z s"
"– C. portenschlagiana SCHULT.";"Dalmatiner G. – C. portenschlagiana SCHULT.";"Z v"
"– C. poscharskyana DEGEN34* Kr schüsself";"Hängepolster-G., Poscharsky-G. – C. poscharskyana DEGEN34* Kr schüsself";"Z v"
"– C. isophylla MORETTI35* BTriebe seitli";"Stern-G. – C. isophylla MORETTI35* BTriebe seitli";"Z z"
"– C. fragilis CIRILLO";"Zerbrechliche G. – C. fragilis CIRILLO";"Z z"
"– C. garganica TEN.Ähnlich: Fenster-G. –";"Sternpolster-G., Gargano-G. – C. garganica TEN.Ähnlich: Fenster-G. –";"Z v"
"– C. elatinoides MORETTI37* Pfl meist ka";"Lombardische G. – C. elatinoides MORETTI37* Pfl meist ka";"Z s"
"– C. elatines L.38 (31) B aufrecht-ausge";"Piemonteser G. – C. elatines L.38 (31) B aufrecht-ausge";"Z s"
"– C. waldsteiniana SCHULT.";"Waldstein-G. – C. waldsteiniana SCHULT.";"Z z"
"– C. tommasiniana W. D. J. KOCH";"Tommasini-G. – C. tommasiniana W. D. J. KOCH";"Z z"
"– C. rotundifolia L.40* BKnospen nickend";"Rundblättrige G. – C. rotundifolia L.40* BKnospen nickend";"Z z"
"– C. cespitosa SCOP.";"Rasen-G. – C. cespitosa SCOP.";NA
"– C. scheuchzeri VILL.43* Fr aufrecht, d";"Scheuchzer-G. – C. scheuchzeri VILL.43* Fr aufrecht, d";"Z v"
"– C. linifolia SCOP.Steinglocke – Symphy";"Leinblatt-G., Karnische G. – C. linifolia SCOP.Steinglocke – Symphy";"Z s"
"– S. wanneri (ROCHEL) HEUFF.";"Wanner-St. – S. wanneri (ROCHEL) HEUFF.";"Z z"
"– S. cretica A. DC.3 (1) BlStiele geflüg";"Kretische St. – S. cretica A. DC.3 (1) BlStiele geflüg";"Z s"
"– S. hofmannii PANT.3* BlStiele ungeflüg";"Hofmann-St., Bosnische St. – S. hofmannii PANT.3* BlStiele ungeflüg";"Z z"
"– S. zangezura LIPSKY4* Pfl  od. . Roset";"Zangezur-St. – S. zangezura LIPSKY4* Pfl  od. . Roset";NA
"– S. pendula (M. BIEB.) A. DC.5* Pfl . R";"Hängende St. – S. pendula (M. BIEB.) A. DC.5* Pfl . R";NA
"– S. armena (STEVEN) A. DC.Schellenblume";"Armenische St. – S. armena (STEVEN) A. DC.Schellenblume";"Z s"
"– A. triphylla (THUNB.) A. DC.1* Bl wech";"Dreiblättrige Sch., Quirlige Sch. – A. triphylla (THUNB.) A. DC.1* Bl wech";"Z s"
"– A. liliifolia (L.) LEDEB. ex A. DC.3* ";"Lilienblättrige Sch. – A. liliifolia (L.) LEDEB. ex A. DC.3* ";NA
"– A. bulleyana DIELSÄhnlich u. oft mit v";"Bulley-Sch. – A. bulleyana DIELSÄhnlich u. oft mit v";"Z s"
"– L. pentagonia (L.) DRUCE";"Fünfkantiger F. – L. pentagonia (L.) DRUCE";"Z s"
"– L. speculum-veneris (L.) CHAIX";"Echter F. – L. speculum-veneris (L.) CHAIX";"Z s"
"– M. campanuloides L’HÉR.Ähnlich: Tschih";"Gewöhnliche T. – M. campanuloides L’HÉR.Ähnlich: Tschih";"Z s"
"– T. coeruleum L.";"Blaues H. – T. coeruleum L.";"Z s"
"– T. asperuloides BOISS. et ORPH. [Diosp";"Waldmeister-H. – T. asperuloides BOISS. et ORPH. [Diosp";"Z s"
"– P. hemisphaericum L.Ähnlich: Niedrige ";"Halbkugelige T. – P. hemisphaericum L.Ähnlich: Niedrige ";"Z s"
"– P. orbiculare L.Ähnlich: Scheuchzer-T.";"Kugel-T., Kopfige T. – P. orbiculare L.Ähnlich: Scheuchzer-T.";"Z s"
"– P. charmelii VILL.: GrundBl herz-eifg,";"Apenninen-T. – P. charmelii VILL.: GrundBl herz-eifg,";"Z s"
"– P. spicatum L.";"Ährige T. – P. spicatum L.";"Z s"
"– P. nigrum F. W. SCHMIDT4* GrundBlSprei";"Schwarze T. – P. nigrum F. W. SCHMIDT4* GrundBlSprei";"Z s"
"– P. ovatum HONCK.Ähnlich: Ziestblättrig";"Eirunde T., Haller-T. – P. ovatum HONCK.Ähnlich: Ziestblättrig";"Z s"
"– C. ovata BENTH.";"Eiblättrige T. – C. ovata BENTH.";"Z s"
"– C. bulleyana FORREST ex DIELS";"Bulley-T. – C. bulleyana FORREST ex DIELS";"Z s"
"– C. clematidea (SCHRENK ex FISCH. et C.";"Waldreben-T. – C. clematidea (SCHRENK ex FISCH. et C.";"Z z"
"– C. convolvulacea KURZSehr ähnlich od. ";"Gewöhnliche Glockenwinde – C. convolvulacea KURZSehr ähnlich od. ";"Z s"
"– C. tangshen OLIV.";"Hubei-G. – C. tangshen OLIV.";"Z s"
"– C. lanceolata (SIEB. et ZUCC.) BENTH. ";"Lanzettblättrige G. – C. lanceolata (SIEB. et ZUCC.) BENTH. ";"Z s"
"– C. delavayi FRANCH. Ähnlich: Hübsche B";"Delavay-B. – C. delavayi FRANCH. Ähnlich: Hübsche B";"Z s"
"– C. inflatus HOOK. f. et THOMS.";"Aufgeblasene B. – C. inflatus HOOK. f. et THOMS.";"Z s"
"– C. lobatus WALL. ex BENTH.";"Gelappte B. – C. lobatus WALL. ex BENTH.";"Z s"
"– C. microphyllus EDGEW.";"Kleinblättrige B. – C. microphyllus EDGEW.";"Z s"
"– C. sheriffii COWANEinige weitere Arten";"Sheriff-B. – C. sheriffii COWANEinige weitere Arten";"Z s"
"– W. capensis (L.) A. DC.1* Pfl kahl, ni";"Kap-Moorglöckchen – W. capensis (L.) A. DC.1* Pfl kahl, ni";"Z s"
"– W. hederacea (L.) RCHB.";"Efeu-M. – W. hederacea (L.) RCHB.";"Z s"
"– E. serpyllifolius (VIS.) A. DC.";"Quendelblättrige B. – E. serpyllifolius (VIS.) A. DC.";"Z s"
"– E. dalmaticus (A. DC.) A. DC.3* KZipfe";"Dalmatiner B. – E. dalmaticus (A. DC.) A. DC.3* KZipfe";NA
"– E. graminifolius (L.) A. DC.Ähnlich: S";"Grasartige B. – E. graminifolius (L.) A. DC.Ähnlich: S";NA
"– J. montana L.";"Sandknöpfchen, Berg-Jasione, Schafrapunzel – J. montana L.";"Z s"
"– J. laevis LAM.";"Ausdauernde J. – J. laevis LAM.";"Z s"
"– J. crispa (POURR.) SAMP.";"Krause J. – J. crispa (POURR.) SAMP.";"Z s"
"– P. angulata (G. FORST.) HOOK. f. 1* Bl";"Kantige T. – P. angulata (G. FORST.) HOOK. f. 1* Bl";"Z v"
"– P. pedunculata (R. BR.) F. MUELL. ex B";"Gestielte T., Blauer Bubikopf – P. pedunculata (R. BR.) F. MUELL. ex B";"Z s"
"– L. axillaris (LINDL.) E. WIMM.Lobelie ";"Felsen-Laurentie – L. axillaris (LINDL.) E. WIMM.Lobelie ";"Z s"
"– L. tenuior R. BR.";"Zarte L. – L. tenuior R. BR.";"Z s"
"– L. valida L. BOLUS";"Kap-L. – L. valida L. BOLUS";"Z s"
"– L. erinus L.";"Blaue L., Männertreu – L. erinus L.";"Z v"
"– L. cardinalis L.Ähnlich, meist in die ";"Kardinals-L. – L. cardinalis L.Ähnlich, meist in die ";"Z z"
"– L. splendens WILLD. [L. cardinalis var";"Glänzende L. – L. splendens WILLD. [L. cardinalis var";"Z s"
"– L. siphilitica L.Ähnlich: Küsten-L. – ";"Blaue Kardinals-L. – L. siphilitica L.Ähnlich: Küsten-L. – ";"Z s"
"–L. inflata L.: KrRöhre 4–6(–8) mm lg, b";"Aufgeblasene L. –L. inflata L.: KrRöhre 4–6(–8) mm lg, b";"Z s"
"– L. × gerardiiCHABANNE et GOUJON ex SAU";"Gerard-L. – L. × gerardiiCHABANNE et GOUJON ex SAU";"Z v"
", Himmelschlüssel – P. elatior (L.) HILL";"Hohe Sch. , Himmelschlüssel – P. elatior (L.) HILL";NA
"– V. noveboracensis (L.) MICHX.";"New York-Sch. – V. noveboracensis (L.) MICHX.";NA
"– V. arkansana DC.Sehr selten kult: Büsc";"Arkansas-Sch. – V. arkansana DC.Sehr selten kult: Büsc";"Z s"
"– A. corymbosum ZUCC. ex PERS.";"Trugdoldiger L. – A. corymbosum ZUCC. ex PERS.";"Z z"
"– A. houstonianum MILL.2* Pfl . HüllBl s";"Gewöhnlicher L. – A. houstonianum MILL.2* Pfl . HüllBl s";"Z v"
"– A. conyzoides L.";"Mexikanischer L. – A. conyzoides L.";"Z s"
"– E. cannabinum L.1* Bl unzerteilt, meis";"Gewöhnlicher W., Kunigundenkraut – E. cannabinum L.1* Bl unzerteilt, meis";"Z s"
"– E. maculatum L.3* Köpfe mit 4–7 B. BSt";"Gefleckter W. – E. maculatum L.3* Köpfe mit 4–7 B. BSt";"Z s"
"– E. coelestinum L.4* B weiß. BStand fla";"Blauer W., Himmelblaue Nebelblume – E. coelestinum L.4* B weiß. BStand fla";"Z s"
"– E. album L.";"Weißer W. – E. album L.";"Z s"
"– E. sessilifolium L.7* Bl mit lg keilfg";"Ungestielter W. – E. sessilifolium L.7* Bl mit lg keilfg";"Z s"
"– E. altissimum L.8 (5) BlPaare an ihrem";"Hoher W., Weiße Natternwurz – E. altissimum L.8 (5) BlPaare an ihrem";"Z s"
"– E. perfoliatum L.8* BlPaare an ihrem G";"Durchwachsener W. – E. perfoliatum L.8* BlPaare an ihrem G";"Z s"
"– E. aromaticum L.";"Duftender W. – E. aromaticum L.";"Z s"
"– E. rugosum HOUTT.";"Weißer W., Weiße Natternwurz – E. rugosum HOUTT.";"Z s"
"– M. scandens (L.) WILLD.";"Kletter-Mikanie – M. scandens (L.) WILLD.";"Z s"
